period,measure,current_age,actual,cdf,pct_developed,ultimate_cl,ibnr_cl,ultimate_ie,ibnr_ie,ultimate_bf,ibnr_bf
2015,Closed Count,120,4931.0,1.0,1.0,4931.0,0.0,6554.374516225983,1623.374516225983,4931.0,0.0
2015,Exposure,120,4512.0,,,,,,,,
2015,Incurred Loss,120,45008437.7,1.0125,0.9876543209876544,45571043.17125,562605.4712499976,63882090.39307072,18873652.693070717,45797105.4826305,788667.7826304991
2015,Paid Loss,120,45008437.67,1.019,0.9813542688910698,45863597.98573,855160.315729998,63882090.39307072,18873652.72307072,46199565.95014557,1191128.2801455697
2015,Reported Count,120,4930.0,1.0,1.0,4930.0,0.0,6554.374516225983,1624.374516225983,4930.0,0.0
2016,Closed Count,108,4888.0,1.0098,0.9902951079421667,4935.9024,47.90239999999994,6320.787764849844,1432.7877648498443,4949.342562978341,61.34256297834124
2016,Exposure,108,4440.0,,,,,,,,
2016,Incurred Loss,108,59922623.84,1.0329525,0.9680987267081498,61897224.1020876,1974600.2620875984,63453604.66974273,3530980.8297427297,61946874.62392249,2024250.7839224862
2016,Paid Loss,108,59267698.34,1.0632246,0.9405350478158613,63014874.86046717,3747176.5204671696,63453604.66974273,4185906.3297427297,63040963.9075975,3773265.567597493
2016,Reported Count,108,4943.0,1.0,1.0,4943.0,0.0,6320.787764849844,1377.7877648498443,4943.0,0.0
2017,Closed Count,96,4704.0,1.04080086,0.9607985911925553,4895.927245440001,191.92724544000066,5759.091814286972,1055.0918142869723,4929.764512571472,225.76451257147207
2017,Exposure,96,4128.0,,,,,,,,
2017,Incurred Loss,96,35372411.74,1.067246523,0.9369906375417633,37751083.43963938,2378671.69963938,59549252.9255448,24176841.185544796,39124572.20170287,3752160.461702867
2017,Paid Loss,96,34907742.22,1.1249979492600002,0.8888905092296202,39271138.410796724,4363396.190796725,59549252.9255448,24641510.7055448,41524229.38831383,6616487.168313832
2017,Reported Count,96,4864.0,1.0098,0.9902951079421667,4911.6672,47.667199999999866,5759.091814286972,895.0918142869723,4919.891364408806,55.89136440880649
2018,Closed Count,84,4672.0,1.07462688795,0.930555536263976,5020.6568205024005,348.6568205024005,5102.48838127437,430.4883812743701,5026.339569356892,354.3395693568917
2018,Exposure,84,3732.0,,,,,,,,
2018,Incurred Loss,84,55323529.15,1.1124977755752,0.8988782017860354,61547303.11634473,6223773.966344729,54342744.02862492,-980785.1213750765,60818765.146055736,5495235.99605574
2018,Paid Loss,84,52422359.54,1.1927228258054523,0.8384177600732127,62525344.80593821,10102985.265938208,54342744.02862492,1920384.488624923,61203181.84391326,8780822.303913262
2018,Reported Count,84,4886.0,1.0204029,0.9800050548660731,4985.688569399999,99.68856939999932,5102.48838127437,216.4883812743701,4988.02397523008,102.02397523008028
2019,Closed Count,72,4355.0,1.1385671877830252,0.878296872358637,4958.460102795075,603.4601027950748,4796.7765907993025,441.77659079930254,4938.78271369715,583.7827136971498
2019,Exposure,72,3580.0,,,,,,,,
2019,Incurred Loss,72,40379699.29,1.177801395001464,0.8490395785265282,47559266.15350163,7179566.863501631,52619444.17055962,12239744.880559623,48323152.7596875,7943453.469687498
2019,Paid Loss,72,37924647.52,1.2950584442595603,0.7721659238102897,49114635.01634339,11189987.49634339,52619444.17055962,14694796.65055962,49913149.97221549,11988502.452215489
2019,Reported Count,72,4767.0,1.0428517637999999,0.9589090556419502,4971.2743580346,204.27435803459957,4796.7765907993025,29.77659079930254,4964.10407999053,197.1040799905301
2020,Closed Count,60,4018.0,1.2364839659323654,0.8087448180097947,4968.192575116244,950.1925751162444,4287.219569156572,269.2195691565721,4837.95295893101,819.9529589310098
2020,Exposure,60,3265.0,,,,,,,,
2020,Incurred Loss,60,34927144.1,1.2641342372550712,0.7910552301560871,44152598.66635146,9225454.566351458,48440622.50779771,13513478.40779771,45048558.82098766,10121414.720987657
2020,Paid Loss,60,30760499.66,1.4358312971505744,0.6964606510420219,44166888.1278176,13406388.4678176,48440622.50779771,17680122.84779771,45464134.6791361,14703635.019136095
2020,Reported Count,60,4597.0,1.0871729637615,0.9198168399443166,4997.734114411615,400.73411441161534,4287.219569156572,-309.7804308434279,4940.762812907539,343.76281290753934
2021,Closed Count,48,3810.0,1.4018018721775225,0.7133675734407645,5340.86513299636,1530.8651329963604,3973.7076107088465,163.70761070884646,4948.993454894378,1138.9934548943786
2021,Exposure,48,3088.0,,,,,,,,
2021,Incurred Loss,48,55221806.45,1.4067285792174433,0.7108691859777921,77682093.32922915,22460286.879229143,46245248.986749664,-8976557.463250339,68592732.93419862,13370926.484198613
2021,Paid Loss,48,46187014.54,1.6466113315722788,0.6073078575532107,76052061.5130576,29865046.973057605,46245248.986749664,58234.44674966484,64347160.442591935,18160145.902591936
2021,Reported Count,48,4301.0,1.193607196913751,0.8377965570127667,5133.7045539260425,832.7045539260425,3973.7076107088465,-327.29238929115354,4945.549055881547,644.5490558815476
2022,Closed Count,36,3118.0,1.6758541381882281,0.5967106427777202,5225.313202870895,2107.313202870895,4373.446125019273,1255.4461250192726,4881.764276605292,1763.7642766052927
2022,Exposure,36,3468.0,,,,,,,,
2022,Incurred Loss,36,27042042.17,1.6876522764871666,0.5925391230956008,45637564.029062465,18595521.859062463,52424249.22500541,25382207.05500541,48402872.73027548,21360830.560275476
2022,Paid Loss,36,23102956.85,1.9945403059335014,0.5013686597483783,46079778.623567484,22976821.773567483,52424249.22500541,29321292.37500541,49243330.50274949,26140373.65274949
2022,Reported Count,36,3568.0,1.4154987748200172,0.7064647584220987,5050.499628557821,1482.4996285578209,4373.446125019273,805.4461250192726,4851.760564835468,1283.7605648354686
2023,Closed Count,24,2214.0,2.16956076729848,0.46092278910684403,4803.407538798835,2589.407538798835,3842.3019384749773,1628.3019384749773,4285.297412402457,2071.297412402457
2023,Exposure,24,3109.0,,,,,,,,
2023,Incurred Loss,24,21336027.8,2.2543659109315572,0.44358371245366124,48099213.74700803,26763185.947008032,47439177.78386472,26103149.98386472,47731958.986748755,26395931.186748758
2023,Paid Loss,24,17919593.72,2.720552977293296,0.3675723311938257,48751204.04683225,30831610.32683225,47439177.78386472,29519584.063864723,47921442.33593122,30001848.61593122
2023,Reported Count,24,2665.0,1.8302399158422822,0.54637645662962,4877.589375719682,2212.589375719682,3842.3019384749773,1177.3019384749773,4407.958620029899,1742.958620029899
2024,Closed Count,12,1306.0,3.524017554322921,0.28376703140235426,4602.366925945735,3296.3669259457347,2880.1074716949583,1574.1074716949583,3368.82792433234,2062.82792433234
2024,Exposure,12,2378.0,,,,,,,,
2024,Incurred Loss,12,15929923.89,4.072737454688951,0.2455351004393121,64878397.67714732,48948473.78714732,36626176.32642927,20696252.43642927,43563088.33341151,27633164.443411507
2024,Paid Loss,12,13261356.27,4.938075709085061,0.2025080332730019,65485581.266409874,52224224.99640988,36626176.32642927,23364820.05642927,42470437.662253894,29209081.392253894
2024,Reported Count,12,1712.0,3.0438720040372997,0.32852892587915333,5211.108870911858,3499.1088709118576,2880.1074716949583,1168.1074716949583,3645.9088576024897,1933.90885760249
